X..Pathway	test_data_Abundance
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|g__Bacillus.s__Bacillus_subtilis_group	170.5775956100
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|g__Enterobacter.s__Enterobacter_cloacae_complex	121.4190149705
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	352.5645028693
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Bacillus.s__Bacillus_subtilis_group	170.5775956100
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Enterobacter.s__Enterobacter_cloacae_complex	121.4190149705
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|unclassified	46.5583923305
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	212.0048581973
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)|g__Enterobacter.s__Enterobacter_cloacae_complex	126.6194382235
HISDEG-PWY: L-histidine degradation I	362.6141311488
HISDEG-PWY: L-histidine degradation I|g__Bacillus.s__Bacillus_subtilis_group	194.7451376906
HISDEG-PWY: L-histidine degradation I|g__Enterobacter.s__Enterobacter_cloacae_complex	61.7941675261
HISDEG-PWY: L-histidine degradation I|unclassified	91.7381491692
HISTSYN-PWY: L-histidine biosynthesis	744.2490343776
HISTSYN-PWY: L-histidine biosynthesis|g__Bacillus.s__Bacillus_subtilis_group	170.7543904312
HISTSYN-PWY: L-histidine biosynthesis|g__Enterobacter.s__Enterobacter_cloacae_complex	148.3909897422
HISTSYN-PWY: L-histidine biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0
HISTSYN-PWY: L-histidine biosynthesis|g__Roseburia.s__Roseburia_intestinalis	189.1947266366
HISTSYN-PWY: L-histidine biosynthesis|unclassified	26.5021441005
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	416.3728393914
HOMOSER-METSYN-PWY: L-methionine biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae_complex	92.4775300200
HOMOSER-METSYN-PWY: L-methionine biosynthesis I|unclassified	151.0556135654
HSERMETANA-PWY: L-methionine biosynthesis III	510.5915771846
